symbol,date,title,description,url
LIND,2023-04-06 14:04:02+00:00,Personagens de ‘Chucky’ ganham cartazes ao estilo ‘Barbie’; Confira!,"Depois que os cartazes de 'Barbie' foram divulgados, diversas franquias estão embarcando no hype do longa e compartilhando artes estilizadas da mesma forma. Desta vez, a página oficial de 'Chucky' publico no Twitter cartzes destacando o brinquedo assassino e …",https://cinepop.com.br/personagens-de-chucky-ganham-cartazes-ao-estilo-barbie-confira-406925/
LIND,2023-04-06 14:00:00+00:00,Is information provided within chronic subdural haematoma education resources adequate? A scoping review,"Background Chronic subdural haematoma (CSDH) is becoming increasingly prevalent, due to an aging population with increasing risk factors. Due to its variable disease course and high morbidity, patient centred care and shared decision making are essential. How…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0283958
LIND,2023-04-07 18:10:00+00:00,A feltámadás legrejtélyesebb ereklyéje: a torinói lepel,"Egy istentagadó tudós hívő ember lett, miután megvizsgálhatta a titokzatos leplet.",https://www.origo.hu/tudomany/20230406-az-ateista-ian-wilson-brit-magfizikus-hivo-lett-miutan-egy-tudoscsoport-tagjakent-megvizsgalhatta-a.html
LIND,2023-04-07 14:20:53+00:00,"Rays’, Brewers’ Blazing Starts Show Controllable Pitching Remains Coin Of The Realm","While much of the industry threw huge amounts of cash at established starters in free agency, the Rays and Brewers went another way.",https://www.forbes.com/sites/tonyblengino/2023/04/07/rays-brewers-blazing-starts-show-controllable-pitching-remains-coin-of-the-realm/
LIND,2023-04-07 06:00:00+00:00,"Elia, la passeuse d'âmes (Tome 1) de Marie Vareille","Be kind, rewind. Flash sur ce roman datant de 2016.
Première incursion de Marie Vareille dans la dystopie pour jeunes adultes. Et ma foi, le pari est réussi. J'ai beaucoup aimé ce premier tome qui m'a fait penser à la saga Legend de Marie [...]",http://blogclarabel.canalblog.com/archives/2023/04/07/39870334.html
LIND,2023-04-08 16:20:59+00:00,Small towns reclaim abandoned ski areas as nonprofits,"Under the gaze of the imposing Spanish Peaks in southern Colorado, the 50-acre Parker-Fitzgerald Cuchara Mountain Park is the story of so many American ski areas, only the community was determined to change the script. Ski resorts boomed in the 70s and 80s, e…",https://www.denverpost.com/2023/04/08/small-towns-reclaim-abandoned-ski-areas-as-nonprofits/
LIND,2023-04-08 12:47:15+00:00,Small towns reclaim abandoned ski areas as nonprofits,"Under the gaze of the imposing Spanish Peaks in southern Colorado, the 50-acre Parker-Fitzgerald Cuchara Mountain Park is the story of so many American ski areas, only the community was determined to change the script",https://abcnews.go.com/US/wireStory/small-towns-reclaim-abandoned-ski-areas-nonprofits-98447707
LIND,2023-04-08 12:35:42+00:00,Small towns reclaim abandoned ski areas as nonprofits,"Under the gaze of the imposing Spanish Peaks in southern Colorado, the 50-acre Parker-Fitzgerald Cuchara Mountain Park is the story of so many American ski areas, only the community was determined to change the script. Ski resorts boomed in the 70s and 80s, e…",https://www.seattlepi.com/news/article/small-towns-reclaim-abandoned-ski-areas-as-17885974.php
LIND,2023-04-09 19:04:52+00:00,White House on Revising Guidance on “Regulatory Analysis”,"Otherwise known as Circular A-4. dated April 6, 2023. Subject: Regulatory Analysis Circular A-4 provides the Office of Management and Budget’s (OMB’s) guidance to Federal agencies on the development of regulatory analysis as required under Section 6(a)(3)(C) …",https://econbrowser.com/archives/2023/04/white-house-on-revising-guidance-on-regulatory-analysis
LIND,2023-04-09 09:09:50+00:00,Eight earthy kitchens where terracotta tiles add warmth and tactility,"For this lookbook, we've collated eight kitchens from Dezeen's archive that use terracotta tiling to bring a sense of warmth into the functional space. Terracotta – meaning baked earth in Italian – technically refers to any object made from fired clay. But mo…",https://www.dezeen.com/2023/04/09/terracotta-tiles-kitchens-lookbooks/
